id,tema,link,categoria,preco
1,Jovens Titãs,https://slydesign.com.br/product/jovenstitas/,Modelo,14.99
2,Interestellar,https://slydesign.com.br/product/interestellar/,Modelo,14.99
3,Spotify,https://slydesign.com.br/product/spotify/,Modelo,14.00
4,ChatGPT,https://slydesign.com.br/product/slide-chatgpt/,Slide,14.99
5,Minecraft,https://slydesign.com.br/product/minecraft/,Modelo,14.99
6,Duolingo,https://slydesign.com.br/product/duolingo/,Modelo,12.99
7,Digital Circus,https://slydesign.com.br/product/digitalcircus/,Modelo,14.99
8,Ursos Sem Curso,https://slydesign.com.br/product/ursossemcurso/,Modelo,14.99
9,Haikyuu,https://slydesign.com.br/product/haikyuu/,Modelo,14.99
10,Scooby-Doo,https://slydesign.com.br/product/scooby-doo/,Modelo,12.99
11,Neymar,https://slydesign.com.br/product/neymar/,Slide,18.99
12,Romantismo,https://slydesign.com.br/product/slide-romantismo/,Slide,17.99
13,Outer Banks,https://slydesign.com.br/product/outerbanks/,Modelo,14.99
14,Monster High,https://slydesign.com.br/product/monster-high/,Modelo,14.99
15,Revolução Russa,https://slydesign.com.br/product/revolucao-russa/,Slide,18.99
16,Primeira Guerra Mundial,https://slydesign.com.br/product/primeira-guerra/,Slide,18.99
17,DivertidaMente,https://slydesign.com.br/product/divertidamente/,Modelo,14.99
18,Netflix Arboviroses,https://slydesign.com.br/product/netflix-arboviroses/,Slide,17.99
19,Avatar,https://slydesign.com.br/product/avatar/,Modelo,14.99
20,Portugal,https://slydesign.com.br/product/portugal/,Slide,18.99
21,Modernismo,https://slydesign.com.br/product/modernismo/,Slide,17.99
22,TinkerBell,https://slydesign.com.br/product/tinkerbell/,Modelo,14.99
23,Barbie,https://slydesign.com.br/product/barbie/,Modelo,14.99
24,Velozes e Furiosos,https://slydesign.com.br/product/velozes-e-furiosos/,Slide,18.99
25,Steven Universe,https://slydesign.com.br/product/steven-universe/,Modelo,12.99
26,Dora Aventureira,https://slydesign.com.br/product/dora-aventureira/,Modelo,12.99
27,George O Curioso,https://slydesign.com.br/product/george-o-curioso/,Modelo,12.99
28,Meninas SuperPoderosas,https://slydesign.com.br/product/meninas-superpoderosas/,Modelo,14.99
29,The Last Of Us II,https://slydesign.com.br/product/the_last_of_us/,Modelo,14.99
30,La Casa de Papel,https://slydesign.com.br/product/la-casa-de-papel/,Modelo,14.99
31,Sistema Solar,https://slydesign.com.br/product/sistema-solar/,Slide,18.99
32,Filosofia da Ciência,https://slydesign.com.br/product/filosofia-da-ciencia/,Slide,17.99
33,Revolução Chinesa,https://slydesign.com.br/product/revolucao-chinesa-2/,Slide,17.99
34,Ascensão do Nazismo,https://slydesign.com.br/product/assencao-nazismo/,Slide,18.99
35,Reino da Espanha,https://slydesign.com.br/product/slide-reino-da-espanha/,Slide,18.99
36,Vietnã,https://slydesign.com.br/product/slide-vietna/,Slide,18.99
37,Canadá,https://slydesign.com.br/product/slide-canada/,Slide,16.99
38,União Europeia,https://slydesign.com.br/product/slide-uniao-europeia/,Slide,18.99
39,Subway Surfers,https://slydesign.com.br/product/modelo-subway-surfers/,Modelo,14.99
40,Homem Aranha,https://slydesign.com.br/product/modelo-homem-aranha/,Modelo,14.99
41,Bob Esponja,https://slydesign.com.br/product/modelo-bob-esponja/,Modelo,14.99
42,Tigrinho,https://slydesign.com.br/product/modelo-tigrinho/,Modelo,12.99
43,Basquete,https://slydesign.com.br/product/basquete/,Slide,18.99
44,ROBLOX 99 Noites na Floresta,https://slydesign.com.br/product/roblox99/,Modelo,14.99
45,Guerra do Paraguai,https://slydesign.com.br/product/guerra-do-paraguai/,Slide,17.99
46,Peppa Pig,https://slydesign.com.br/product/peppa/,Modelo,12.99
47,O Incrível Mundo de Gumball,https://slydesign.com.br/product/gumball/,Modelo,14.99
48,Vírus e Bactérias,https://slydesign.com.br/product/virus-bacterias/,Slide,18.99
49,Fórmula 1,https://slydesign.com.br/product/formula1/,Modelo,14.99
50,África Ocidental,https://slydesign.com.br/product/africa-ocidental/,Slide,18.99
51,Antigo Egito,https://slydesign.com.br/product/antigoegito/,Slide,18.99
52,Alimentos Sustentáveis,https://slydesign.com.br/product/alimentos-sustentaveis/,Slide,17.99
53,Princesinha Sofia,https://slydesign.com.br/product/princesinha-sofia/,Modelo,14.99
54,Pack Famosinhos,https://slydesign.com.br/product/famosinhos/,Pack,19.99
55,Pack História,https://slydesign.com.br/product/historia/,Pack,50.00
56,Pack Desenhos Animados,https://slydesign.com.br/product/desenhos_animados/,Pack,37.50
